Track name, Artist name, Album, Playlist name, Type, ISRC
Never Tell A Soul,Circa Survive,The Amulet,Something,Playlist track,USI2R0750314
Goes Without Saying,Scary Kids Scaring Kids,Scary Kids Scaring Kids,Something,Playlist track,USUYG1106807
Conversations,Watsky,x Infinity,Something,Playlist track,USUYG1106808
Knots,Watsky,x Infinity,Something,Playlist track,USUYG1106809
Roses,Watsky,x Infinity,Something,Playlist track,USUYG1106810
Theories,Watsky,x Infinity,Something,Playlist track,USRC10301519
Reptilia,The Strokes,Room On Fire,Something,Playlist track,USRC11100031
Under Cover of Darkness,The Strokes,Angles,Something,Playlist track,USUYG1106796
Chemical Angel,Watsky,x Infinity,Something,Playlist track,US39N1844561
The Last Time,The Longshot,Love Is for Losers,Something,Playlist track,USRE10501340
"Holiday - Live at Milton Keynes National Bowl, Milton Keynes, England, 6/18/05",Green Day,Bullet in a Bible,Something,Playlist track,USRE10900001
Desolation Row,My Chemical Romance,"Desolation Row [From ""Watchmen""]",Something,Playlist track,USVIC0525802
Devotion And Desire,Bayside,Bayside,Something,Playlist track,USUM71703495
House On Fire,Rise Against,Wolves,Something,Playlist track,USEK70908006
Self-Trepanation,Dance Gavin Dance,Happiness,Something,Playlist track,USEK71527701
We Own The Night,Dance Gavin Dance,Instant Gratification,Something,Playlist track,USEK71527702
"Stroke God, Millionaire",Dance Gavin Dance,Instant Gratification,Something,Playlist track,QMRSZ1800499
Midnight Crusade,Dance Gavin Dance,Midnight Crusade,Something,Playlist track,QMRSZ1600572
Chucky vs. The Giant Tortoise,Dance Gavin Dance,Mothership,Something,Playlist track,QMRSZ1600573
Young Robot,Dance Gavin Dance,Mothership,Something,Playlist track,QMRSZ1600574
Frozen One,Dance Gavin Dance,Mothership,Something,Playlist track,QMRSZ1600576
Deception,Dance Gavin Dance,Mothership,Something,Playlist track,QMRSZ1600577
Inspire The Liars,Dance Gavin Dance,Mothership,Something,Playlist track,QMRSZ1600583
Petting Zoo Justice,Dance Gavin Dance,Mothership,Something,Playlist track,QMRSZ1600585
Man Of The Year,Dance Gavin Dance,Mothership,Something,Playlist track,QMRSZ1800498
Son of Robot,Dance Gavin Dance,Son of Robot,Something,Playlist track,QMRSZ1600582
Betrayed By The Game,Dance Gavin Dance,Mothership,Something,Playlist track,QMRSZ1701602
Summertime Gladness,Dance Gavin Dance,Summertime Gladness,Something,Playlist track,QMRSZ1800501
Care,Dance Gavin Dance,Care,Something,Playlist track,USUM71806088
House On Fire - Ghost Note Symphonies,Rise Against,House On Fire (Ghost Note Symphonies),Something,Playlist track,USCA20501001
Lights And Sounds,Yellowcard,Lights And Sounds,Something,Playlist track,USHR20323017
Remenissions,Avenged Sevenfold,Waking The Fallen,Something,Playlist track,USEP41705002
Loser,Falling In Reverse,Coming Home (Deluxe Edition),Something,Playlist track,USEP41705005
I'm Bad At Life,Falling In Reverse,Coming Home (Deluxe Edition),Something,Playlist track,USUM71806089
Like The Angel - Ghost Note Symphonies,Rise Against,Like The Angel (Ghost Note Symphonies),Something,Playlist track,USRC10100769
Someday,The Strokes,Is This It,Something,Playlist track,usx9p0965511
Taxi Cab,Twenty One Pilots,Twenty One Pilots,Something,Playlist track,USAT21203515
Car Radio,Twenty One Pilots,Vessel,Something,Playlist track,USSM11101701
Don't Stop (Color on the Walls),Foster The People,Torches,Something,Playlist track,USTN10600287
Say This Sooner,The Almost,Southern Weather,Something,Playlist track,QMRSZ1600578
Philosopher King,Dance Gavin Dance,Mothership,Something,Playlist track,USVIC0833902
Warm Me Up,The Audition,Champion,Something,Playlist track,US95P0700329
The Shake,My American Heart,Hiding Inside The Horrible Weather,Something,Playlist track,USJPQ1300011
Sloppy Seconds,Watsky,Cardboard Castles,Something,Playlist track,USUYG1106795
Talking to Myself,Watsky,x Infinity,Something,Playlist track,USUYG1106811
(Bonus Track) Exquisite Corpse,Watsky,x Infinity,Something,Playlist track,USRC11100047
Call Me Back,The Strokes,Angles,Something,Playlist track,USUYG1106803
Stick to Your Guns,Watsky,x Infinity,Something,Playlist track,USUYG1106805
Going Down,Watsky,x Infinity,Something,Playlist track,USUM71806091
Savior - Ghost Note Symphonies,Rise Against,"The Ghost Note Symphonies, Vol.1",Something,Playlist track,QM24S1826199
Welcome To The Family,Watsky,Welcome To The Family,Something,Playlist track,USAT21203514
House of Gold,Twenty One Pilots,Vessel,Something,Playlist track,USJPQ1400100
Grass Is Greener,Watsky,All You Can Do,Something,Playlist track,USJPQ1400091
Whoa Whoa Whoa,Watsky,All You Can Do,Something,Playlist track,USJPQ1300010
"Tiny Glowing Screens, Part 2",Watsky,Cardboard Castles,Something,Playlist track,USAT21500600
The Judge,Twenty One Pilots,Blurryface,Something,Playlist track,USRN19600010
